Plot,ExAcidcmolc_kg,ExCacmolc_kg,ExMgcmolc_kg,ExNacmolc_kg,ExKcmolc_kg,ExAlcmolc_kg
1.0,19.01,0.81,0.82,0.24,1.17,18.68
3.0,19.1,,,,,
4.0,21.53,6.71,2.1,0.34,1.81,9.66
4.0,24.38,3.46,1.32,0.17,1.49,14.57
7.0,12.41,3.12,1.89,0.21,1.9,2.82
7.0,11.41,2.07,0.96,0.16,0.98,3.57
10.0,7.79,2.66,0.78,0.1,0.8,1.83
11.0,14.37,2.88,1.56,0.18,1.98,7.33
12.0,13.83,1.62,1.05,0.22,1.18,3.54
13.0,11.31,1.7,0.62,0.17,0.67,3.83
15.0,14.11,1.46,1.62,0.18,2.46,6.47
15.0,9.46,1.92,1.09,0.12,1.46,3.17
17.0,10.54,0.72,0.55,0.15,0.75,4.04
19.0,11.54,1.14,0.86,0.15,1.04,8.56
19.0,8.73,3.16,1.11,0.25,1.0,2.06
21.0,15.1,5.11,1.03,0.16,1.13,4.71
22.0,13.08,4.65,1.66,0.29,1.71,3.82
25.0,8.57,1.74,0.52,0.12,0.69,2.06
25.1,8.31,0.19,0.18,0.07,0.25,7.27
25.2,7.69,0.41,0.44,0.09,0.63,7.62
27.0,7.67,0.26,0.32,0.07,0.49,6.62
29.0,16.16,0.36,0.49,0.12,0.63,12.52
29.0,9.28,3.25,0.76,0.16,0.81,2.04
32.0,13.59,1.54,0.88,0.17,0.9,6.86
32.0,17.46,0.56,0.57,0.1,0.66,12.7
35.0,11.24,0.33,0.51,0.17,0.83,11.0
37.0,6.33,0.76,0.31,0.05,0.33,3.14
37.0,13.3,2.41,0.75,0.23,0.84,7.29
39.0,13.19,1.06,0.47,0.12,0.49,6.41
40.0,17.94,0.4,0.54,0.15,0.43,8.75
42.0,12.45,1.99,0.87,0.11,0.97,4.13
42.0,13.99,2.29,0.59,0.1,0.59,6.16
43.0,9.76,2.74,1.1,0.17,0.97,3.79
44.0,18.45,1.14,0.78,0.12,0.6,8.67
46.0,19.1,8.73,2.76,0.34,1.48,10.47
47.0,8.22,0.38,0.29,0.07,0.34,6.33
47.0,7.53,0.76,0.45,0.15,0.44,3.32
48.0,,,,,,
49.0,15.08,1.94,1.08,0.11,0.91,9.6
50.1,9.76,0.42,0.38,0.09,0.32,5.52
50.2,15.01,1.17,0.57,0.18,0.7,7.51
51.0,17.68,1.46,0.44,0.12,0.53,15.6
51.1,24.74,10.2,2.33,0.31,0.98,7.66
51.2,18.67,5.91,1.5,0.24,0.56,9.73
53.0,9.15,4.06,0.85,0.12,0.7,2.79
54.0,9.78,4.41,0.97,0.09,0.66,2.89
55.0,13.6,3.73,1.1,0.08,0.7,6.31
57.0,28.55,3.48,1.2,0.24,1.33,28.29
58.0,29.19,1.51,0.52,0.07,0.58,21.87
59.0,17.62,2.08,0.4,0.14,0.44,12.83
61.0,12.77,0.93,0.29,0.0,0.3,5.88
63.0,26.53,1.2,0.83,0.19,0.9,26.21
64.0,17.75,0.69,0.38,0.03,0.49,12.8
64.0,30.39,1.15,0.91,0.22,1.28,37.14
65.0,12.61,0.22,0.14,0.03,0.18,9.32
65.0,17.11,8.51,1.09,0.4,0.92,5.67
67.0,,,,,,
68.0,9.98,0.38,0.26,0.0,0.33,6.81
69.0,19.13,2.0,1.19,0.1,1.29,10.35
71.0,15.36,11.29,1.3,0.13,0.67,2.77
73.0,10.2,5.95,0.82,0.14,0.82,1.95
73.0,15.01,0.41,0.41,0.12,0.56,13.88
75.0,9.9,2.15,0.62,0.09,0.78,2.82
75.0,13.85,1.16,0.53,0.14,0.58,10.57
77.0,29.98,0.8,0.57,0.12,0.93,24.29
78.0,18.89,5.7,1.15,0.15,0.88,6.33
79.0,10.27,3.73,1.11,0.22,0.92,4.08
81.0,12.24,0.37,0.24,0.04,0.28,8.8
81.1,11.66,0.51,0.39,0.17,0.5,10.19
81.2,11.8,0.48,0.29,0.13,0.34,10.15
81.3,11.71,0.36,0.21,0.13,0.27,9.77
84.0,12.04,2.96,0.64,0.1,0.45,5.41
85.0,7.41,1.94,0.65,0.1,0.73,3.48
88.0,4.89,2.06,0.53,0.08,0.38,2.39
88.0,15.11,17.59,1.93,0.25,1.43,8.77
90.0,12.59,1.95,0.79,0.11,0.92,6.78
91.0,16.15,5.24,1.57,0.19,0.95,4.72
93.0,9.74,3.04,0.77,0.13,0.56,2.87
93.0,9.29,7.38,1.15,0.22,0.75,2.65
95.0,13.72,5.32,1.07,0.21,0.64,5.56
96.0,14.25,1.0,0.6,0.14,0.71,13.4
98.0,17.33,4.13,0.95,0.18,0.68,7.01
99.0,,,,,,
101.0,13.29,6.1,1.17,0.15,0.69,5.46
102.0,15.44,2.61,0.81,0.01,0.64,12.66
103.0,12.3,12.49,1.56,0.12,0.94,3.06
104.0,17.81,3.52,0.81,0.16,0.76,17.43
105.0,6.81,0.31,0.11,0.04,0.19,6.18
105.0,11.86,3.53,0.73,0.14,0.7,4.86
107.0,13.17,9.27,1.23,0.26,0.56,5.3
107.0,18.21,6.79,1.74,0.19,0.72,13.97
110.0,16.14,0.74,0.48,0.11,0.57,13.93
110.0,21.54,8.81,1.21,0.16,0.82,11.72
113.0,7.35,0.8,0.27,0.03,0.3,4.2
113.0,10.48,3.4,0.77,0.17,0.51,7.04
115.1,20.84,1.08,0.57,0.25,0.7,23.53
115.2,21.82,1.55,0.72,0.3,0.83,28.11
116.0,14.53,5.34,0.94,0.18,0.66,4.58
118.0,14.22,7.09,2.23,0.33,1.05,4.24
118.1,19.67,5.41,1.24,0.21,0.7,7.02
118.2,25.56,3.03,0.64,0.16,0.46,14.99
121.0,9.25,0.51,0.21,0.09,0.2,6.0
122.0,14.24,0.98,0.44,0.08,0.52,15.69
124.0,22.93,2.05,0.67,0.15,1.09,17.21
124.0,18.41,4.1,0.75,0.18,0.6,13.82
125.0,14.51,0.4,0.25,0.11,0.38,11.92
126.0,15.83,7.86,1.25,0.09,0.69,9.01
127.0,13.47,1.77,0.39,0.07,0.35,8.92
128.0,12.29,5.44,1.17,0.13,0.85,6.74
130.0,15.46,11.05,2.64,0.23,1.42,2.71
130.0,9.62,2.93,0.63,0.02,0.36,2.75
132.0,,,,,,
134.0,8.07,3.88,0.6,0.05,0.39,3.98
136.0,15.26,4.1,1.13,0.2,0.77,4.86
136.0,14.53,5.93,0.83,0.19,0.55,8.38
139.0,16.55,0.62,0.35,0.04,0.46,14.89
140.0,16.86,1.41,0.54,0.03,0.64,13.85
141.0,9.31,2.41,0.48,0.07,0.4,5.0
142.0,5.41,2.38,0.51,0.0,0.32,2.41
143.0,8.01,3.99,0.64,0.05,0.53,4.08
146.0,8.02,0.31,0.23,0.07,0.37,8.94
147.0,13.35,10.5,0.99,0.14,0.54,4.57
149.0,14.59,0.93,0.54,0.16,0.65,16.12
151.0,20.1,7.47,0.55,0.16,0.79,9.15
152.0,10.01,2.67,0.68,0.07,0.53,5.0
152.0,,,,,,
154.0,17.74,1.54,0.9,0.1,0.97,19.17
155.0,19.68,1.72,0.5,0.08,0.62,15.76
155.0,14.46,13.19,1.85,0.14,0.75,4.64
156.0,13.51,5.71,1.14,0.02,0.66,6.25
157.0,12.68,19.98,1.41,0.25,1.08,2.11
157.0,11.07,11.31,1.76,0.15,1.7,3.54
160.0,8.81,1.22,0.41,0.07,0.37,5.31
160.0,6.97,6.75,1.52,0.25,0.83,4.17
161.0,15.87,1.79,0.99,0.15,1.03,10.01
162.0,10.56,1.32,0.45,0.1,0.51,7.59
164.0,8.4,1.62,0.61,0.15,0.67,5.01
164.0,,,,,,
165.0,6.52,2.35,0.4,0.05,0.37,3.13
165.0,8.45,7.19,1.28,0.16,0.86,1.72
168.0,10.27,1.1,0.37,0.1,0.39,8.46
168.0,10.31,6.76,1.09,0.16,0.78,3.6
169.0,14.4,2.82,0.95,0.18,0.84,15.96
170.0,4.41,3.96,0.7,0.05,0.46,1.02
172.0,12.28,12.32,1.41,0.25,0.86,5.14
173.0,9.64,1.5,0.46,0.07,0.38,5.99
174.0,4.8,2.26,0.6,0.05,0.39,1.56
174.0,,,,,,
176.0,11.17,13.94,2.33,0.12,0.78,2.79
176.0,11.57,9.05,1.45,0.18,0.96,3.37
177.0,9.07,11.21,1.08,0.11,0.93,2.28
178.0,9.67,2.5,0.67,0.14,0.47,8.42
179.0,,,,,,
180.0,,10.33,1.22,0.14,0.85,5.92
181.0,8.58,0.69,0.24,0.05,0.29,6.5
181.0,15.54,4.21,0.89,0.11,0.53,13.27
182.0,8.99,14.04,1.42,0.18,0.61,1.56
