dayofyear,hourofday,Wind,Tair
1,0,15,60
1,1,15,90
1,2,15,90
1,3,15,90
1,4,90,90
1,5,15,45
1,6,90,90
1,7,30,90
1,8,30,90
1,9,15,90
1,10,90,90
1,11,45,90
1,12,30,90
1,13,90,90
1,14,90,60
1,15,15,15
1,16,15,15
1,17,90,45
1,18,15,15
1,19,15,30
1,20,15,30
1,21,15,45
1,22,90,45
1,23,90,45
2,0,15,60
2,1,15,90
2,2,15,90
2,3,15,90
2,4,90,90
2,5,15,90
2,6,90,90
2,7,30,90
2,8,30,90
2,9,15,90
2,10,90,90
2,11,30,90
2,12,30,90
2,13,90,90
2,14,90,60
2,15,15,15
2,16,15,15
2,17,90,45
2,18,15,15
2,19,15,15
2,20,90,15
2,21,15,15
2,22,90,15
2,23,90,45
3,0,15,60
3,1,15,60
3,2,15,90
3,3,15,90
3,4,90,90
3,5,15,90
3,6,90,90
3,7,30,90
3,8,15,90
3,9,90,90
3,10,90,90
3,11,30,90
3,12,30,90
3,13,90,90
3,14,90,60
3,15,15,15
3,16,15,15
3,17,90,45
3,18,15,15
3,19,30,15
3,20,90,15
3,21,30,15
3,22,90,45
3,23,15,45
4,0,15,60
4,1,15,60
4,2,15,60
4,3,15,45
4,4,90,90
4,5,15,90
4,6,90,90
4,7,30,90
4,8,15,90
4,9,15,90
4,10,90,90
4,11,30,90
4,12,30,90
4,13,90,90
4,14,90,60
4,15,15,15
4,16,15,15
4,17,90,45
4,18,15,15
4,19,15,15
4,20,90,15
4,21,30,45
4,22,60,45
4,23,15,45
5,0,15,60
5,1,15,60
5,2,15,60
5,3,15,60
5,4,90,90
5,5,15,90
5,6,90,90
5,7,90,90
5,8,15,90
5,9,30,90
5,10,90,90
5,11,30,90
5,12,30,90
5,13,90,90
5,14,90,60
5,15,15,15
5,16,15,15
5,17,90,45
5,18,15,15
5,19,30,15
5,20,90,15
5,21,90,15
5,22,60,15
5,23,15,45
6,0,15,60
6,1,15,60
6,2,15,60
6,3,15,60
6,4,90,60
6,5,15,90
6,6,90,90
6,7,90,90
6,8,15,90
6,9,15,90
6,10,90,90
6,11,90,90
6,12,30,90
6,13,90,90
6,14,90,60
6,15,15,30
6,16,15,30
6,17,90,45
6,18,15,15
6,19,30,15
6,20,90,15
6,21,90,45
6,22,60,45
6,23,90,45
7,0,15,60
7,1,15,60
7,2,90,60
7,3,30,60
7,4,90,60
7,5,15,30
7,6,90,90
7,7,30,90
7,8,15,90
7,9,30,90
7,10,90,90
7,11,30,90
7,12,30,90
7,13,90,90
7,14,90,60
7,15,15,30
7,16,15,15
7,17,90,45
7,18,30,15
7,19,30,15
7,20,90,15
7,21,30,45
7,22,60,30
7,23,90,45
8,0,15,60
8,1,15,60
8,2,30,60
8,3,30,60
8,4,90,60
8,5,15,60
8,6,90,90
8,7,30,90
8,8,15,90
8,9,30,90
8,10,90,90
8,11,30,90
8,12,30,90
8,13,90,90
8,14,90,60
8,15,15,30
8,16,15,30
8,17,90,45
8,18,30,15
8,19,30,15
8,20,90,30
8,21,30,30
8,22,60,30
8,23,90,45
9,0,15,60
9,1,15,60
9,2,90,60
9,3,90,90
9,4,90,30
9,5,90,30
9,6,90,90
9,7,90,90
9,8,15,90
9,9,90,90
9,10,90,90
9,11,90,90
9,12,30,90
9,13,90,90
9,14,90,60
9,15,15,30
9,16,15,30
9,17,90,30
9,18,60,15
9,19,15,15
9,20,90,30
9,21,90,30
9,22,60,30
9,23,90,45
10,0,15,60
10,1,15,60
10,2,90,60
10,3,90,60
10,4,90,30
10,5,90,30
10,6,90,90
10,7,60,90
10,8,15,90
10,9,15,90
10,10,90,90
10,11,30,90
10,12,15,90
10,13,90,90
10,14,90,60
10,15,15,30
10,16,15,15
10,17,60,30
10,18,60,15
10,19,15,15
10,20,90,15
10,21,90,30
10,22,60,30
10,23,90,45
11,0,15,60
11,1,15,60
11,2,15,60
11,3,90,90
11,4,90,90
11,5,15,90
11,6,90,90
